,dataset,time,epochs,lr,weight_decay,train_loss,train_acc,test_loss,test_acc,seed,time_this_iter_s,should_checkpoint,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time
0,higgs,161.0268824882805,1,3.0,0.0001666666666666,0.6984328129863739,51.232625,0.7152772763538361,53.023,1111,1823.4089815616608,True,False,,,1,ddf52_00009,32a3edb653854be4bb404100fb968ec5,2022-10-10_02-35-19,1665383719,1823.4089815616608,1230592,udell-compute-01.orie.cornell.edu,128.84.100.165,1823.4089815616608,0,1,0.0120327472686767
1,higgs,195.279251947999,2,3.0,0.0001666666666666,0.6968421695327759,51.24625,0.6958351694869995,46.977,1111,34.26899838447571,True,False,,,2,ddf52_00009,32a3edb653854be4bb404100fb968ec5,2022-10-10_02-35-53,1665383753,1857.6779799461365,1230592,udell-compute-01.orie.cornell.edu,128.84.100.165,1857.6779799461365,0,2,0.0120327472686767
2,higgs,229.63403464108703,3,3.0,0.0001666666666666,0.6964419461917877,51.3435,0.6913773454284668,53.023,1111,34.37028431892395,True,False,,,3,ddf52_00009,32a3edb653854be4bb404100fb968ec5,2022-10-10_02-36-28,1665383788,1892.0482642650604,1230592,udell-compute-01.orie.cornell.edu,128.84.100.165,1892.0482642650604,0,3,0.0120327472686767
3,higgs,264.02731413021684,4,3.0,0.0001666666666666,0.6962985663509369,51.37425,0.6913490956306457,53.023,1111,34.4080593585968,True,False,,,4,ddf52_00009,32a3edb653854be4bb404100fb968ec5,2022-10-10_02-37-02,1665383822,1926.4563236236568,1230592,udell-compute-01.orie.cornell.edu,128.84.100.165,1926.4563236236568,0,4,0.0120327472686767
4,higgs,298.3918593749404,5,3.0,0.0001666666666666,0.696546358423233,51.43625,0.6943667966651916,46.977,1111,34.3796706199646,True,False,,,5,ddf52_00009,32a3edb653854be4bb404100fb968ec5,2022-10-10_02-37-37,1665383857,1960.8359942436216,1230592,udell-compute-01.orie.cornell.edu,128.84.100.165,1960.8359942436216,0,5,0.0120327472686767
5,higgs,332.70563542470336,6,3.0,0.0001666666666666,0.6964596349239349,51.277,0.6916737635231018,53.023,1111,34.33050537109375,True,False,,,6,ddf52_00009,32a3edb653854be4bb404100fb968ec5,2022-10-10_02-38-11,1665383891,1995.166499614716,1230592,udell-compute-01.orie.cornell.edu,128.84.100.165,1995.166499614716,0,6,0.0120327472686767
6,higgs,366.91560526937246,7,3.0,0.0001666666666666,0.6968432017135621,51.3265,0.6914562359428406,53.023,1111,34.22511672973633,True,False,,,7,ddf52_00009,32a3edb653854be4bb404100fb968ec5,2022-10-10_02-38-45,1665383925,2029.391616344452,1230592,udell-compute-01.orie.cornell.edu,128.84.100.165,2029.391616344452,0,7,0.0120327472686767
7,higgs,401.2513069435954,8,3.0,0.0001666666666666,0.6965071091270447,51.34075,0.6947307831764221,46.977,1111,34.35155653953552,True,False,,,8,ddf52_00009,32a3edb653854be4bb404100fb968ec5,2022-10-10_02-39-20,1665383960,2063.7431728839874,1230592,udell-compute-01.orie.cornell.edu,128.84.100.165,2063.7431728839874,0,8,0.0120327472686767
8,higgs,436.617452904582,9,3.0,0.0001666666666666,0.6962393739891052,51.31125,0.6940180864143372,46.977,1111,35.38142943382263,True,False,,,9,ddf52_00009,32a3edb653854be4bb404100fb968ec5,2022-10-10_02-39-55,1665383995,2099.12460231781,1230592,udell-compute-01.orie.cornell.edu,128.84.100.165,2099.12460231781,0,9,0.0120327472686767
9,higgs,471.0060939379037,10,3.0,0.0001666666666666,0.6966479810905457,51.3265,0.691819421710968,53.023,1111,34.40314769744873,True,False,,,10,ddf52_00009,32a3edb653854be4bb404100fb968ec5,2022-10-10_02-40-29,1665384029,2133.527750015259,1230592,udell-compute-01.orie.cornell.edu,128.84.100.165,2133.527750015259,0,10,0.0120327472686767
10,higgs,506.0233181640506,11,3.0,0.0001666666666666,0.6918934572601319,52.8055,0.6913369553565979,53.023,1111,35.03311800956726,True,False,,,11,ddf52_00009,32a3edb653854be4bb404100fb968ec5,2022-10-10_02-41-04,1665384064,2168.560868024826,1230592,udell-compute-01.orie.cornell.edu,128.84.100.165,2168.560868024826,0,11,0.0120327472686767
11,higgs,540.8351547457278,12,3.0,0.0001666666666666,0.6918892270946503,52.803,0.6915380785560608,53.023,1111,34.82890820503235,True,False,,,12,ddf52_00009,32a3edb653854be4bb404100fb968ec5,2022-10-10_02-41-39,1665384099,2203.3897762298584,1230592,udell-compute-01.orie.cornell.edu,128.84.100.165,2203.3897762298584,0,12,0.0120327472686767
12,higgs,575.565056219697,13,3.0,0.0001666666666666,0.6918180164623261,52.821,0.6913191261482239,53.023,1111,34.74476480484009,True,False,,,13,ddf52_00009,32a3edb653854be4bb404100fb968ec5,2022-10-10_02-42-14,1665384134,2238.1345410346985,1230592,udell-compute-01.orie.cornell.edu,128.84.100.165,2238.1345410346985,0,13,0.0120327472686767
13,higgs,610.3634795956314,14,3.0,0.0001666666666666,0.691928140668869,52.78075,0.6931466546058654,53.023,1111,34.81350755691528,True,False,,,14,ddf52_00009,32a3edb653854be4bb404100fb968ec5,2022-10-10_02-42-49,1665384169,2272.9480485916138,1230592,udell-compute-01.orie.cornell.edu,128.84.100.165,2272.9480485916138,0,14,0.0120327472686767
14,higgs,644.9731969088316,15,3.0,0.0001666666666666,0.691862643442154,52.80475,0.6915937028312683,53.023,1111,34.62867188453674,True,False,,,15,ddf52_00009,32a3edb653854be4bb404100fb968ec5,2022-10-10_02-43-23,1665384203,2307.5767204761505,1230592,udell-compute-01.orie.cornell.edu,128.84.100.165,2307.5767204761505,0,15,0.0120327472686767
15,higgs,679.7372039742768,16,3.0,0.0001666666666666,0.6918968472957611,52.8145,0.6916968794059754,53.023,1111,34.78178930282593,True,False,,,16,ddf52_00009,32a3edb653854be4bb404100fb968ec5,2022-10-10_02-43-58,1665384238,2342.3585097789764,1230592,udell-compute-01.orie.cornell.edu,128.84.100.165,2342.3585097789764,0,16,0.0120327472686767
16,higgs,714.305990036577,17,3.0,0.0001666666666666,0.6918614898777008,52.756,0.6913185983848572,53.023,1111,34.58574104309082,True,False,,,17,ddf52_00009,32a3edb653854be4bb404100fb968ec5,2022-10-10_02-44-33,1665384273,2376.9442508220677,1230592,udell-compute-01.orie.cornell.edu,128.84.100.165,2376.9442508220677,0,17,0.0120327472686767
17,higgs,749.1134685985744,18,3.0,0.0001666666666666,0.6918054178905487,52.8575,0.6940261422157288,46.977,1111,34.822129249572754,True,False,,,18,ddf52_00009,32a3edb653854be4bb404100fb968ec5,2022-10-10_02-45-08,1665384308,2411.76638007164,1230592,udell-compute-01.orie.cornell.edu,128.84.100.165,2411.76638007164,0,18,0.0120327472686767
