,dataset,time,epochs,lr,weight_decay,train_loss,train_acc,test_loss,test_acc,seed,time_this_iter_s,should_checkpoint,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time
0,miniboone,4.244755814084783,1,0.0001,0.0005,0.353285277322353,84.91028437280956,0.2856276770305048,87.75996617076078,1111,10.23739457130432,True,False,,,1,41c8e_00000,134f01a5622c4256bc9408deb1344718,2022-09-30_15-50-35,1664578235,10.23739457130432,933071,soal-6.stanford.edu,171.67.195.136,10.23739457130432,0,1,0.004753828048706
1,miniboone,8.6477606149856,2,0.0001,0.0005,0.2584086708280762,89.05728920954374,0.2518260273319835,88.93245684849883,1111,5.0374720096588135,True,False,,,2,41c8e_00000,134f01a5622c4256bc9408deb1344718,2022-09-30_15-50-40,1664578240,15.274866580963137,933071,soal-6.stanford.edu,171.67.195.136,15.274866580963137,0,2,0.004753828048706
2,miniboone,13.259194303071126,3,0.0001,0.0005,0.238698648862349,89.95684808521246,0.2495186190178768,88.95552223888056,1111,5.053673982620239,True,False,,,3,41c8e_00000,134f01a5622c4256bc9408deb1344718,2022-09-30_15-50-45,1664578245,20.32854056358337,933071,soal-6.stanford.edu,171.67.195.136,20.32854056358337,0,3,0.004753828048706
3,miniboone,18.041568611050025,4,0.0001,0.0005,0.229930991486934,90.34415815211348,0.2381917106506298,89.49371468112098,1111,5.158005714416504,True,False,,,4,41c8e_00000,134f01a5622c4256bc9408deb1344718,2022-09-30_15-50-50,1664578250,25.48654627799988,933071,soal-6.stanford.edu,171.67.195.136,25.48654627799988,0,4,0.004753828048706
4,miniboone,22.64122547209263,5,0.0001,0.0005,0.223888505353649,90.61614016313578,0.232543322844603,89.78203206089263,1111,4.994174480438232,True,False,,,5,41c8e_00000,134f01a5622c4256bc9408deb1344718,2022-09-30_15-50-55,1664578255,30.48072075843811,933071,soal-6.stanford.edu,171.67.195.136,30.48072075843811,0,5,0.004753828048706
5,miniboone,27.24107418116182,6,0.0001,0.0005,0.2194866830792287,90.79682078283926,0.2289695456441869,89.95502248875562,1111,4.775113344192505,True,False,,,6,41c8e_00000,134f01a5622c4256bc9408deb1344718,2022-09-30_15-51-00,1664578260,35.255834102630615,933071,soal-6.stanford.edu,171.67.195.136,35.255834102630615,0,6,0.004753828048706
6,miniboone,32.07160444930196,7,0.0001,0.0005,0.2152528150449272,91.052464655655,0.2222239656640012,90.21643024641526,1111,5.1254799365997314,True,False,,,7,41c8e_00000,134f01a5622c4256bc9408deb1344718,2022-09-30_15-51-05,1664578265,40.38131403923035,933071,soal-6.stanford.edu,171.67.195.136,40.38131403923035,0,7,0.004753828048706
7,miniboone,36.87629718333483,8,0.0001,0.0005,0.2115002296994377,91.24179487914613,0.2245726384749802,90.0972590627763,1111,5.151052951812744,True,False,,,8,41c8e_00000,134f01a5622c4256bc9408deb1344718,2022-09-30_15-51-10,1664578270,45.53236699104309,933071,soal-6.stanford.edu,171.67.195.136,45.53236699104309,0,8,0.004753828048706
8,miniboone,41.39913854328916,9,0.0001,0.0005,0.2079151285714213,91.38691602752864,0.2204249313126448,90.37404374735708,1111,4.898845672607422,True,False,,,9,41c8e_00000,134f01a5622c4256bc9408deb1344718,2022-09-30_15-51-15,1664578275,50.43121266365051,933071,soal-6.stanford.edu,171.67.195.136,50.43121266365051,0,9,0.004753828048706
9,miniboone,46.11017142632045,10,0.0001,0.0005,0.2046474429758195,91.53395930218356,0.2168357791510488,90.54703417522008,1111,4.884957790374756,True,False,,,10,41c8e_00000,134f01a5622c4256bc9408deb1344718,2022-09-30_15-51-20,1664578280,55.31617045402527,933071,soal-6.stanford.edu,171.67.195.136,55.31617045402527,0,10,0.004753828048706
10,miniboone,50.81548930052668,11,0.0001,0.0005,0.2009945894703205,91.66658657590284,0.2120226808798834,90.8468842501826,1111,5.009900808334351,True,False,,,11,41c8e_00000,134f01a5622c4256bc9408deb1344718,2022-09-30_15-51-25,1664578285,60.32607126235962,933071,soal-6.stanford.edu,171.67.195.136,60.32607126235962,0,11,0.004753828048706
11,miniboone,55.37686932273209,12,0.0001,0.0005,0.200430611305596,91.72809486958518,0.210870167516965,90.96989966555184,1111,4.802170038223267,True,False,,,12,41c8e_00000,134f01a5622c4256bc9408deb1344718,2022-09-30_15-51-30,1664578290,65.12824130058289,933071,soal-6.stanford.edu,171.67.195.136,65.12824130058289,0,12,0.004753828048706
