,dataset,time,epochs,lr,weight_decay,train_loss,train_acc,test_loss,test_acc,seed,time_this_iter_s,should_checkpoint,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time
0,miniboone,763.7771642804146,1,0.3,0.0016666666666666,0.2822637740786882,88.10679378198446,0.3924972029231789,84.79990773843848,1111,3687.8974442482,True,False,,,1,ece3f_00007,955ee250d47249889e8811255fa43d3a,2022-10-12_03-06-13,1665558373,3687.8974442482,1373469,udell-compute-01.orie.cornell.edu,128.84.100.165,3687.8974442482,0,1,0.0035886764526367
1,miniboone,773.7525425851345,2,0.3,0.0016666666666666,0.3583999444584944,88.07315642813707,0.4940599431831367,87.55622188905548,1111,10.01195764541626,True,False,,,2,ece3f_00007,955ee250d47249889e8811255fa43d3a,2022-10-12_03-06-23,1665558383,3697.909401893616,1373469,udell-compute-01.orie.cornell.edu,128.84.100.165,3697.909401893616,0,2,0.0035886764526367
2,miniboone,783.4943975694478,3,0.3,0.0016666666666666,0.6623326176606077,88.64306925421218,0.342442117417195,89.99346480605851,1111,9.770858526229858,True,False,,,3,ece3f_00007,955ee250d47249889e8811255fa43d3a,2022-10-12_03-06-33,1665558393,3707.6802604198456,1373469,udell-compute-01.orie.cornell.edu,128.84.100.165,3707.6802604198456,0,3,0.0035886764526367
3,miniboone,793.5315134376287,4,0.3,0.0016666666666666,0.8968483084936941,88.25191491936846,0.2596157300931329,89.66286087725368,1111,10.069420099258425,True,False,,,4,ece3f_00007,955ee250d47249889e8811255fa43d3a,2022-10-12_03-06-43,1665558403,3717.749680519104,1373469,udell-compute-01.orie.cornell.edu,128.84.100.165,3717.749680519104,0,4,0.0035886764526367
4,miniboone,803.2063101828098,5,0.3,0.0016666666666666,0.8226050279495427,88.5671449537283,0.5411168522317943,90.28562641756044,1111,9.70625638961792,True,False,,,5,ece3f_00007,955ee250d47249889e8811255fa43d3a,2022-10-12_03-06-53,1665558413,3727.455936908722,1373469,udell-compute-01.orie.cornell.edu,128.84.100.165,3727.455936908722,0,5,0.0035886764526367
5,miniboone,812.7913002818823,6,0.3,0.0016666666666666,0.8008049177129137,88.13947006353023,0.4476387951939373,89.23999538692192,1111,9.613484144210815,True,False,,,6,ece3f_00007,955ee250d47249889e8811255fa43d3a,2022-10-12_03-07-03,1665558423,3737.0694210529327,1373469,udell-compute-01.orie.cornell.edu,128.84.100.165,3737.0694210529327,0,6,0.0035886764526367
6,miniboone,822.0863837711513,7,0.3,0.0016666666666666,0.5985049709002174,88.80164534222726,0.6114536461746551,81.22092799753969,1111,9.330165147781372,True,False,,,7,ece3f_00007,955ee250d47249889e8811255fa43d3a,2022-10-12_03-07-12,1665558432,3746.399586200714,1373469,udell-compute-01.orie.cornell.edu,128.84.100.165,3746.399586200714,0,7,0.0035886764526367
7,miniboone,831.524111263454,8,0.3,0.0016666666666666,1.0164804654959303,88.96118249007898,0.5121944275439159,83.41982854726483,1111,9.477537155151367,True,False,,,8,ece3f_00007,955ee250d47249889e8811255fa43d3a,2022-10-12_03-07-21,1665558441,3755.8771233558655,1373469,udell-compute-01.orie.cornell.edu,128.84.100.165,3755.8771233558655,0,8,0.0035886764526367
8,miniboone,840.9767920486629,9,0.3,0.0016666666666666,1.9968048455632668,87.83577283996424,0.6228038733135179,82.29731288202053,1111,9.479292631149292,True,False,,,9,ece3f_00007,955ee250d47249889e8811255fa43d3a,2022-10-12_03-07-31,1665558451,3765.356415987015,1373469,udell-compute-01.orie.cornell.edu,128.84.100.165,3765.356415987015,0,9,0.0035886764526367
9,miniboone,850.546454936266,10,0.3,0.0016666666666666,0.970988291231303,86.87951100499163,0.2830283774131517,89.25152808211278,1111,9.612048149108888,True,False,,,10,ece3f_00007,955ee250d47249889e8811255fa43d3a,2022-10-12_03-07-40,1665558460,3774.968464136124,1373469,udell-compute-01.orie.cornell.edu,128.84.100.165,3774.968464136124,0,10,0.0035886764526367
