,dataset,time,epochs,lr,weight_decay,train_loss,train_acc,test_loss,test_acc,seed,time_this_iter_s,should_checkpoint,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time
0,cifar10,19.68889614100044,1,0.0003,0.0005,3.695713504180908,11.09,2.65970177230835,12.48,1111,22.18535804748535,True,False,,,1,82027_00001,2fc146f7b2b74356bacce2480d4b355d,2022-10-11_07-59-01,1665475141,22.18535804748535,86390,129-146-65-143,10.19.23.77,22.18535804748535,0,1,0.0025532245635986
1,cifar10,38.28485105800064,2,0.0003,0.0005,2.6072545474243163,13.29,2.3532025409698485,15.21,1111,18.613327026367188,True,False,,,2,82027_00001,2fc146f7b2b74356bacce2480d4b355d,2022-10-11_07-59-19,1665475159,40.79868507385254,86390,129-146-65-143,10.19.23.77,40.79868507385254,0,2,0.0025532245635986
2,cifar10,56.051163697004085,3,0.0003,0.0005,2.350128384780884,15.58,2.250927886199951,17.47,1111,17.78256916999817,True,False,,,3,82027_00001,2fc146f7b2b74356bacce2480d4b355d,2022-10-11_07-59-37,1665475177,58.58125424385071,86390,129-146-65-143,10.19.23.77,58.58125424385071,0,3,0.0025532245635986
3,cifar10,73.68703790799918,4,0.0003,0.0005,2.247038154449463,17.454,2.208677906036377,18.75,1111,17.652530670166016,True,False,,,4,82027_00001,2fc146f7b2b74356bacce2480d4b355d,2022-10-11_07-59-55,1665475195,76.23378491401672,86390,129-146-65-143,10.19.23.77,76.23378491401672,0,4,0.0025532245635986
4,cifar10,92.61625339400052,5,0.0003,0.0005,2.204842269210816,18.904,2.1793922824859617,19.83,1111,18.94636607170105,True,False,,,5,82027_00001,2fc146f7b2b74356bacce2480d4b355d,2022-10-11_08-00-14,1665475214,95.18015098571776,86390,129-146-65-143,10.19.23.77,95.18015098571776,0,5,0.0025532245635986
5,cifar10,111.4554131440018,6,0.0003,0.0005,2.1730853536987307,20.418,2.1512733142852785,20.9,1111,18.85585117340088,True,False,,,6,82027_00001,2fc146f7b2b74356bacce2480d4b355d,2022-10-11_08-00-32,1665475232,114.03600215911864,86390,129-146-65-143,10.19.23.77,114.03600215911864,0,6,0.0025532245635986
6,cifar10,128.982615576002,7,0.0003,0.0005,2.1459187284088133,21.502,2.1231782815933227,21.62,1111,17.54382038116455,True,False,,,7,82027_00001,2fc146f7b2b74356bacce2480d4b355d,2022-10-11_08-00-50,1665475250,131.5798225402832,86390,129-146-65-143,10.19.23.77,131.5798225402832,0,7,0.0025532245635986
7,cifar10,146.48273676400277,8,0.0003,0.0005,2.1151611875915526,22.44000000152588,2.0920882776260377,22.55,1111,17.51645565032959,True,False,,,8,82027_00001,2fc146f7b2b74356bacce2480d4b355d,2022-10-11_08-01-07,1665475267,149.0962781906128,86390,129-146-65-143,10.19.23.77,149.0962781906128,0,8,0.0025532245635986
8,cifar10,164.10314651999943,9,0.0003,0.0005,2.088116206130981,23.28,2.064551564979553,23.02,1111,17.637543201446533,True,False,,,9,82027_00001,2fc146f7b2b74356bacce2480d4b355d,2022-10-11_08-01-25,1665475285,166.73382139205933,86390,129-146-65-143,10.19.23.77,166.73382139205933,0,9,0.0025532245635986
9,cifar10,182.7192911719976,10,0.0003,0.0005,2.0572188441467287,24.36,2.0372502519607543,23.77,1111,18.632522344589237,True,False,,,10,82027_00001,2fc146f7b2b74356bacce2480d4b355d,2022-10-11_08-01-44,1665475304,185.36634373664856,86390,129-146-65-143,10.19.23.77,185.36634373664856,0,10,0.0025532245635986
