,dataset,time,epochs,lr,weight_decay,train_loss,train_acc,test_loss,test_acc,seed,time_this_iter_s,should_checkpoint,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time
0,svhn,84.2037158519961,1,0.1,0.0005,1.3342787329979284,53.85423918377164,0.7108121272165056,77.82728948985863,1111,95.44563913345335,True,False,,,1,2fde7_00006,d9b3a149c26c4ef3a8c9ab2894366afc,2022-09-27_03-02-07,1664272927,95.44563913345335,2355429,soal-7.stanford.edu,171.67.195.137,95.44563913345335,0,1,0.006138801574707
1,svhn,166.99188004015014,2,0.1,0.0005,0.4989718857895874,84.33733295122144,0.6395603463044545,79.47910264290104,1111,83.06442260742188,True,False,,,2,2fde7_00006,d9b3a149c26c4ef3a8c9ab2894366afc,2022-09-27_03-03-30,1664273010,178.51006174087524,2355429,soal-7.stanford.edu,171.67.195.137,178.51006174087524,0,2,0.006138801574707
2,svhn,247.4087021353189,3,0.1,0.0005,0.3895250090989193,88.01752733360539,0.4272699000722584,86.83159188690843,1111,80.70407629013062,True,False,,,3,2fde7_00006,d9b3a149c26c4ef3a8c9ab2894366afc,2022-09-27_03-04-50,1664273090,259.21413803100586,2355429,soal-7.stanford.edu,171.67.195.137,259.21413803100586,0,3,0.006138801574707
3,svhn,328.7863932393957,4,0.1,0.0005,0.338723234445097,89.65696110618589,0.5006520536023558,84.17332513829133,1111,81.6014051437378,True,False,,,4,2fde7_00006,d9b3a149c26c4ef3a8c9ab2894366afc,2022-09-27_03-06-12,1664273172,340.81554317474365,2355429,soal-7.stanford.edu,171.67.195.137,340.81554317474365,0,4,0.006138801574707
4,svhn,410.2791375743691,5,0.1,0.0005,0.3097629164725772,90.67119865428415,0.3267581440146598,90.17363245236632,1111,82.1461021900177,True,False,,,5,2fde7_00006,d9b3a149c26c4ef3a8c9ab2894366afc,2022-09-27_03-07-34,1664273254,422.96164536476135,2355429,soal-7.stanford.edu,171.67.195.137,422.96164536476135,0,5,0.006138801574707
5,svhn,491.4534335792996,6,0.1,0.0005,0.2862355248199083,91.5093438153068,0.4621842300225124,85.56007990165949,1111,81.37923431396484,True,False,,,6,2fde7_00006,d9b3a149c26c4ef3a8c9ab2894366afc,2022-09-27_03-08-56,1664273336,504.3408796787262,2355429,soal-7.stanford.edu,171.67.195.137,504.3408796787262,0,6,0.006138801574707
6,svhn,574.7380219532643,7,0.1,0.0005,0.2749191068104408,91.84651295788606,0.3102687531607094,90.7037492317148,1111,83.46962428092957,True,False,,,7,2fde7_00006,d9b3a149c26c4ef3a8c9ab2894366afc,2022-09-27_03-10-19,1664273419,587.8105039596558,2355429,soal-7.stanford.edu,171.67.195.137,587.8105039596558,0,7,0.006138801574707
7,svhn,657.9527796071488,8,0.1,0.0005,0.260497639910999,92.28060116871964,0.3475476056337356,89.28626306084819,1111,83.47197961807251,True,False,,,8,2fde7_00006,d9b3a149c26c4ef3a8c9ab2894366afc,2022-09-27_03-11-42,1664273502,671.2824835777283,2355429,soal-7.stanford.edu,171.67.195.137,671.2824835777283,0,8,0.006138801574707
8,svhn,740.4635765792336,9,0.1,0.0005,0.2513873521003373,92.45805861472576,0.2781604165743668,91.94068838352796,1111,82.84856057167053,True,False,,,9,2fde7_00006,d9b3a149c26c4ef3a8c9ab2894366afc,2022-09-27_03-13-05,1664273585,754.1310441493988,2355429,soal-7.stanford.edu,171.67.195.137,754.1310441493988,0,9,0.006138801574707
9,svhn,822.7702358572278,10,0.1,0.0005,0.2426080470747192,92.84709993157234,0.2883685576032845,91.82544560540872,1111,82.49784255027771,True,False,,,10,2fde7_00006,d9b3a149c26c4ef3a8c9ab2894366afc,2022-09-27_03-14-28,1664273668,836.6288866996765,2355429,soal-7.stanford.edu,171.67.195.137,836.6288866996765,0,10,0.006138801574707
