,dataset,time,epochs,lr,weight_decay,train_loss,train_acc,test_loss,test_acc,seed,time_this_iter_s,should_checkpoint,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time
0,higgs,195.95832238718867,1,3.0,0.0001666666666666,9.5044722336483,47.061375,5.560711048092756,46.9755,1111,1523.5199196338654,True,False,,,1,9587b_00009,6d7eb981bc544712acf94f942beb64d4,2022-10-11_01-21-45,1665465705,1523.5199196338654,1269303,udell-compute-01.orie.cornell.edu,128.84.100.165,1523.5199196338654,0,1,0.02553391456604
1,higgs,275.66868932545185,2,3.0,0.0001666666666666,4.767881817169189,47.014125,4.019977470082231,46.977,1111,79.72861886024475,True,False,,,2,9587b_00009,6d7eb981bc544712acf94f942beb64d4,2022-10-11_01-23-04,1665465784,1603.24853849411,1269303,udell-compute-01.orie.cornell.edu,128.84.100.165,1603.24853849411,0,2,0.02553391456604
2,higgs,355.4933039657772,3,3.0,0.0001666666666666,3.4127171319007874,47.016625,2.873410902787149,46.977,1111,79.84099626541138,True,False,,,3,9587b_00009,6d7eb981bc544712acf94f942beb64d4,2022-10-11_01-24-24,1665465864,1683.0895347595217,1269303,udell-compute-01.orie.cornell.edu,128.84.100.165,1683.0895347595217,0,3,0.02553391456604
3,higgs,435.34260058403015,4,3.0,0.0001666666666666,1.699451962299347,53.783125,0.7019307654953003,57.6315,1111,79.8973617553711,True,False,,,4,9587b_00009,6d7eb981bc544712acf94f942beb64d4,2022-10-11_01-25-44,1665465944,1762.9868965148926,1269303,udell-compute-01.orie.cornell.edu,128.84.100.165,1762.9868965148926,0,4,0.02553391456604
4,higgs,515.340113081038,5,3.0,0.0001666666666666,0.6152391006708146,66.59275,0.5938454511260987,69.0235,1111,80.01472330093384,True,False,,,5,9587b_00009,6d7eb981bc544712acf94f942beb64d4,2022-10-11_01-27-04,1665466024,1843.0016198158264,1269303,udell-compute-01.orie.cornell.edu,128.84.100.165,1843.0016198158264,0,5,0.02553391456604
5,higgs,593.3610232286155,6,3.0,0.0001666666666666,0.5904544823598862,68.64975,0.58527994972229,69.6295,1111,78.03640913963318,True,False,,,6,9587b_00009,6d7eb981bc544712acf94f942beb64d4,2022-10-11_01-28-22,1665466102,1921.03802895546,1269303,udell-compute-01.orie.cornell.edu,128.84.100.165,1921.03802895546,0,6,0.02553391456604
6,higgs,671.4646289274096,7,3.0,0.0001666666666666,0.5942922623777389,69.570875,0.57565034740448,70.2675,1111,78.11945581436157,True,False,,,7,9587b_00009,6d7eb981bc544712acf94f942beb64d4,2022-10-11_01-29-40,1665466180,1999.1574847698207,1269303,udell-compute-01.orie.cornell.edu,128.84.100.165,1999.1574847698207,0,7,0.02553391456604
7,higgs,750.4415677972138,8,3.0,0.0001666666666666,0.5705926863288879,70.1685,0.6143827032470703,67.477,1111,78.99461722373962,True,False,,,8,9587b_00009,6d7eb981bc544712acf94f942beb64d4,2022-10-11_01-30-59,1665466259,2078.152101993561,1269303,udell-compute-01.orie.cornell.edu,128.84.100.165,2078.152101993561,0,8,0.02553391456604
8,higgs,828.768802434206,9,3.0,0.0001666666666666,0.565414858584404,70.562375,0.5614532070732117,70.4905,1111,78.34321451187134,True,False,,,9,9587b_00009,6d7eb981bc544712acf94f942beb64d4,2022-10-11_01-32-17,1665466337,2156.495316505432,1269303,udell-compute-01.orie.cornell.edu,128.84.100.165,2156.495316505432,0,9,0.02553391456604
9,higgs,907.4637252166868,10,3.0,0.0001666666666666,0.5611114714193344,70.916875,0.568795776309967,69.77,1111,78.71161246299744,True,False,,,10,9587b_00009,6d7eb981bc544712acf94f942beb64d4,2022-10-11_01-33-36,1665466416,2235.2069289684296,1269303,udell-compute-01.orie.cornell.edu,128.84.100.165,2235.2069289684296,0,10,0.02553391456604
10,higgs,986.3244566731156,11,3.0,0.0001666666666666,0.5514784597015381,71.710625,0.5536620766162872,71.5495,1111,78.87769269943237,True,False,,,11,9587b_00009,6d7eb981bc544712acf94f942beb64d4,2022-10-11_01-34-55,1665466495,2314.084621667862,1269303,udell-compute-01.orie.cornell.edu,128.84.100.165,2314.084621667862,0,11,0.02553391456604
11,higgs,1065.113911692053,12,3.0,0.0001666666666666,0.5507039989328384,71.72225,0.5529519707489013,71.481,1111,78.80494618415833,True,False,,,12,9587b_00009,6d7eb981bc544712acf94f942beb64d4,2022-10-11_01-36-14,1665466574,2392.8895678520203,1269303,udell-compute-01.orie.cornell.edu,128.84.100.165,2392.8895678520203,0,12,0.02553391456604
12,higgs,1143.6321181207895,13,3.0,0.0001666666666666,0.5503374283456802,71.784125,0.5525545285224914,71.4575,1111,78.534099817276,True,False,,,13,9587b_00009,6d7eb981bc544712acf94f942beb64d4,2022-10-11_01-37-32,1665466652,2471.4236676692963,1269303,udell-compute-01.orie.cornell.edu,128.84.100.165,2471.4236676692963,0,13,0.02553391456604
13,higgs,1222.442931652069,14,3.0,0.0001666666666666,0.5499983637762069,71.803875,0.5536792021751403,71.299,1111,78.82629728317261,True,False,,,14,9587b_00009,6d7eb981bc544712acf94f942beb64d4,2022-10-11_01-38-51,1665466731,2550.249964952469,1269303,udell-compute-01.orie.cornell.edu,128.84.100.165,2550.249964952469,0,14,0.02553391456604
14,higgs,1301.764067519456,15,3.0,0.0001666666666666,0.549741641740799,71.797875,0.5525023101997375,71.586,1111,79.33694696426392,True,False,,,15,9587b_00009,6d7eb981bc544712acf94f942beb64d4,2022-10-11_01-40-11,1665466811,2629.586911916733,1269303,udell-compute-01.orie.cornell.edu,128.84.100.165,2629.586911916733,0,15,0.02553391456604
15,higgs,1380.9656787887216,16,3.0,0.0001666666666666,0.5495017239618302,71.83475,0.5520214419841767,71.6225,1111,79.21712017059326,True,False,,,16,9587b_00009,6d7eb981bc544712acf94f942beb64d4,2022-10-11_01-41-30,1665466890,2708.804032087326,1269303,udell-compute-01.orie.cornell.edu,128.84.100.165,2708.804032087326,0,16,0.02553391456604
16,higgs,1461.1723652034998,17,3.0,0.0001666666666666,0.5492285448360443,71.850375,0.5516167211723327,71.5525,1111,80.2234263420105,True,False,,,17,9587b_00009,6d7eb981bc544712acf94f942beb64d4,2022-10-11_01-42-50,1665466970,2789.0274584293365,1269303,udell-compute-01.orie.cornell.edu,128.84.100.165,2789.0274584293365,0,17,0.02553391456604
17,higgs,1541.898110985756,18,3.0,0.0001666666666666,0.5490589178371429,71.8555,0.5515806443500518,71.6425,1111,80.74209308624268,True,False,,,18,9587b_00009,6d7eb981bc544712acf94f942beb64d4,2022-10-11_01-44-11,1665467051,2869.769551515579,1269303,udell-compute-01.orie.cornell.edu,128.84.100.165,2869.769551515579,0,18,0.02553391456604
18,higgs,1622.1158616356552,19,3.0,0.0001666666666666,0.5488211328601837,71.850625,0.5512491295051575,71.603,1111,80.23312163352966,True,False,,,19,9587b_00009,6d7eb981bc544712acf94f942beb64d4,2022-10-11_01-45-31,1665467131,2950.002673149109,1269303,udell-compute-01.orie.cornell.edu,128.84.100.165,2950.002673149109,0,19,0.02553391456604
19,higgs,1702.3407595157623,20,3.0,0.0001666666666666,0.5486386239480973,71.890875,0.551218252286911,71.676,1111,80.24016666412354,True,False,,,20,9587b_00009,6d7eb981bc544712acf94f942beb64d4,2022-10-11_01-46-51,1665467211,3030.2428398132324,1269303,udell-compute-01.orie.cornell.edu,128.84.100.165,3030.2428398132324,0,20,0.02553391456604
20,higgs,1782.4002385251224,21,3.0,0.0001666666666666,0.5480706149435043,71.908875,0.5509374551963806,71.642,1111,80.07675862312317,True,False,,,21,9587b_00009,6d7eb981bc544712acf94f942beb64d4,2022-10-11_01-48-11,1665467291,3110.319598436356,1269303,udell-compute-01.orie.cornell.edu,128.84.100.165,3110.319598436356,0,21,0.02553391456604
21,higgs,1862.367851302028,22,3.0,0.0001666666666666,0.5480306498193741,71.931,0.5509707717609406,71.663,1111,79.98390531539917,True,False,,,22,9587b_00009,6d7eb981bc544712acf94f942beb64d4,2022-10-11_01-49-31,1665467371,3190.3035037517548,1269303,udell-compute-01.orie.cornell.edu,128.84.100.165,3190.3035037517548,0,22,0.02553391456604
22,higgs,1943.131819497794,23,3.0,0.0001666666666666,0.5479996443939209,71.91725,0.5509916596698761,71.5995,1111,80.77938461303711,True,False,,,23,9587b_00009,6d7eb981bc544712acf94f942beb64d4,2022-10-11_01-50-52,1665467452,3271.082888364792,1269303,udell-compute-01.orie.cornell.edu,128.84.100.165,3271.082888364792,0,23,0.02553391456604
23,higgs,2023.36272065714,24,3.0,0.0001666666666666,0.547984670701027,71.91,0.5508970055675506,71.649,1111,80.24703884124756,True,False,,,24,9587b_00009,6d7eb981bc544712acf94f942beb64d4,2022-10-11_01-52-12,1665467532,3351.3299272060394,1269303,udell-compute-01.orie.cornell.edu,128.84.100.165,3351.3299272060394,0,24,0.02553391456604
24,higgs,2103.4167741052806,25,3.0,0.0001666666666666,0.5479703632259368,71.930375,0.5509187977123261,71.649,1111,80.07013940811157,True,False,,,25,9587b_00009,6d7eb981bc544712acf94f942beb64d4,2022-10-11_01-53-32,1665467612,3431.400066614151,1269303,udell-compute-01.orie.cornell.edu,128.84.100.165,3431.400066614151,0,25,0.02553391456604
25,higgs,2183.641387216747,26,3.0,0.0001666666666666,0.5479531354713439,71.927375,0.5508708504009246,71.6075,1111,80.24115109443665,True,False,,,26,9587b_00009,6d7eb981bc544712acf94f942beb64d4,2022-10-11_01-54-53,1665467693,3511.641217708588,1269303,udell-compute-01.orie.cornell.edu,128.84.100.165,3511.641217708588,0,26,0.02553391456604
26,higgs,2263.7786876894534,27,3.0,0.0001666666666666,0.5479322422218322,71.9225,0.5508334210681916,71.642,1111,80.1538302898407,True,False,,,27,9587b_00009,6d7eb981bc544712acf94f942beb64d4,2022-10-11_01-56-13,1665467773,3591.7950479984283,1269303,udell-compute-01.orie.cornell.edu,128.84.100.165,3591.7950479984283,0,27,0.02553391456604
27,higgs,2343.884604092688,28,3.0,0.0001666666666666,0.5479058492851258,71.9345,0.5508659711551667,71.6565,1111,80.12594890594482,True,False,,,28,9587b_00009,6d7eb981bc544712acf94f942beb64d4,2022-10-11_01-57-33,1665467853,3671.920996904373,1269303,udell-compute-01.orie.cornell.edu,128.84.100.165,3671.920996904373,0,28,0.02553391456604
28,higgs,2424.3596298508346,29,3.0,0.0001666666666666,0.5478909782457352,71.927125,0.5508479510593415,71.66,1111,80.49032950401306,True,False,,,29,9587b_00009,6d7eb981bc544712acf94f942beb64d4,2022-10-11_01-58-53,1665467933,3752.411326408386,1269303,udell-compute-01.orie.cornell.edu,128.84.100.165,3752.411326408386,0,29,0.02553391456604
29,higgs,2503.313731942326,30,3.0,0.0001666666666666,0.5478752043247223,71.93575,0.5508153902053833,71.6685,1111,78.97045278549194,True,False,,,30,9587b_00009,6d7eb981bc544712acf94f942beb64d4,2022-10-11_02-00-12,1665468012,3831.381779193878,1269303,udell-compute-01.orie.cornell.edu,128.84.100.165,3831.381779193878,0,30,0.02553391456604
