,dataset,time,epochs,lr,weight_decay,train_loss,train_acc,test_loss,test_acc,seed,time_this_iter_s,should_checkpoint,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time
0,cifar10,95.51258778199552,1,0.1,0.005,1.7956102087402344,33.444,1.6809436870574952,41.91,1111,104.42763018608092,True,False,,,1,818e3_00006,969165697cb74e06b30f4fb4297e5ea8,2022-09-25_14-26-57,1664141217,104.42763018608092,1548444,soal-7.stanford.edu,171.67.195.137,104.42763018608092,0,1,0.0068666934967041
1,cifar10,141.87878484581597,2,0.1,0.005,1.2586451792526243,53.956,1.5597264265060424,49.68,1111,46.93123602867127,True,False,,,2,818e3_00006,969165697cb74e06b30f4fb4297e5ea8,2022-09-25_14-27-44,1664141264,151.3588662147522,1548444,soal-7.stanford.edu,171.67.195.137,151.3588662147522,0,2,0.0068666934967041
2,cifar10,238.072165081976,3,0.1,0.005,0.9474219129562378,66.034,1.175196319389343,60.03,1111,96.67622184753418,True,False,,,3,818e3_00006,969165697cb74e06b30f4fb4297e5ea8,2022-09-25_14-29-21,1664141361,248.0350880622864,1548444,soal-7.stanford.edu,171.67.195.137,248.0350880622864,0,3,0.0068666934967041
3,cifar10,286.6345936669968,4,0.1,0.005,0.8006552145767212,72.08,1.23559333820343,59.93,1111,48.753536224365234,True,False,,,4,818e3_00006,969165697cb74e06b30f4fb4297e5ea8,2022-09-25_14-30-10,1664141410,296.7886242866516,1548444,soal-7.stanford.edu,171.67.195.137,296.7886242866516,0,4,0.0068666934967041
4,cifar10,377.3535174578428,5,0.1,0.005,0.7118270480728149,75.244,0.8453835035324097,72.18,1111,90.89917349815369,True,False,,,5,818e3_00006,969165697cb74e06b30f4fb4297e5ea8,2022-09-25_14-31-41,1664141501,387.6877977848053,1548444,soal-7.stanford.edu,171.67.195.137,387.6877977848053,0,5,0.0068666934967041
5,cifar10,424.9573179418221,6,0.1,0.005,0.6626447380065918,77.134,0.9016004341125488,69.92,1111,47.78777480125427,True,False,,,6,818e3_00006,969165697cb74e06b30f4fb4297e5ea8,2022-09-25_14-32-28,1664141548,435.4755725860596,1548444,soal-7.stanford.edu,171.67.195.137,435.4755725860596,0,6,0.0068666934967041
6,cifar10,513.8945605198387,7,0.1,0.005,0.6257955195045471,78.312,0.743938719367981,75.25,1111,89.12159085273743,True,False,,,7,818e3_00006,969165697cb74e06b30f4fb4297e5ea8,2022-09-25_14-33-57,1664141637,524.597163438797,1548444,soal-7.stanford.edu,171.67.195.137,524.597163438797,0,7,0.0068666934967041
7,cifar10,561.462103866972,8,0.1,0.005,0.5973723589134217,79.336,1.0597126525878906,68.49,1111,47.76485109329224,True,False,,,8,818e3_00006,969165697cb74e06b30f4fb4297e5ea8,2022-09-25_14-34-45,1664141685,572.3620145320892,1548444,soal-7.stanford.edu,171.67.195.137,572.3620145320892,0,8,0.0068666934967041
8,cifar10,644.6320532239042,9,0.1,0.005,0.57237957862854,80.354,0.6855240322113038,77.07,1111,83.36790418624878,True,False,,,9,818e3_00006,969165697cb74e06b30f4fb4297e5ea8,2022-09-25_14-36-09,1664141769,655.729918718338,1548444,soal-7.stanford.edu,171.67.195.137,655.729918718338,0,9,0.0068666934967041
9,cifar10,691.2762581717689,10,0.1,0.005,0.552621664276123,80.99,0.9636232149124144,68.96,1111,46.8272020816803,True,False,,,10,818e3_00006,969165697cb74e06b30f4fb4297e5ea8,2022-09-25_14-36-55,1664141815,702.5571208000183,1548444,soal-7.stanford.edu,171.67.195.137,702.5571208000183,0,10,0.0068666934967041
10,cifar10,772.5259390617721,11,0.1,0.005,0.5366171688461304,81.482,1.1162398715019226,66.07,1111,81.43667888641357,True,False,,,11,818e3_00006,969165697cb74e06b30f4fb4297e5ea8,2022-09-25_14-38-17,1664141897,783.9937996864319,1548444,soal-7.stanford.edu,171.67.195.137,783.9937996864319,0,11,0.0068666934967041
11,cifar10,819.7996024608146,12,0.1,0.005,0.5285190340805054,81.776,0.971709262561798,68.56,1111,47.44555330276489,True,False,,,12,818e3_00006,969165697cb74e06b30f4fb4297e5ea8,2022-09-25_14-39-04,1664141944,831.4393529891968,1548444,soal-7.stanford.edu,171.67.195.137,831.4393529891968,0,12,0.0068666934967041
12,cifar10,899.5236620528158,13,0.1,0.005,0.5167420669746399,82.31,0.6068984827995301,79.77,1111,80.15640950202942,True,False,,,13,818e3_00006,969165697cb74e06b30f4fb4297e5ea8,2022-09-25_14-40-24,1664142024,911.5957624912262,1548444,soal-7.stanford.edu,171.67.195.137,911.5957624912262,0,13,0.0068666934967041
13,cifar10,947.5741880186832,14,0.1,0.005,0.5086953064727783,82.402,1.0836975666046142,67.84,1111,48.304423093795776,True,False,,,14,818e3_00006,969165697cb74e06b30f4fb4297e5ea8,2022-09-25_14-41-13,1664142073,959.900185585022,1548444,soal-7.stanford.edu,171.67.195.137,959.900185585022,0,14,0.0068666934967041
14,cifar10,1026.3988970285282,15,0.1,0.005,0.4985799076461792,82.828,1.540153448867798,62.81,1111,79.02535557746887,True,False,,,15,818e3_00006,969165697cb74e06b30f4fb4297e5ea8,2022-09-25_14-42-32,1664142152,1038.9255411624908,1548444,soal-7.stanford.edu,171.67.195.137,1038.9255411624908,0,15,0.0068666934967041
15,cifar10,1074.3078115594108,16,0.1,0.005,0.4910148413658142,83.11,0.7010289356231689,77.0,1111,48.11188292503357,True,False,,,16,818e3_00006,969165697cb74e06b30f4fb4297e5ea8,2022-09-25_14-43-20,1664142200,1087.0374240875244,1548444,soal-7.stanford.edu,171.67.195.137,1087.0374240875244,0,16,0.0068666934967041
16,cifar10,1150.90357565647,17,0.1,0.005,0.4851748068904877,83.474,0.8112345446586608,75.44,1111,76.76741075515747,True,False,,,17,818e3_00006,969165697cb74e06b30f4fb4297e5ea8,2022-09-25_14-44-37,1664142277,1163.804834842682,1548444,soal-7.stanford.edu,171.67.195.137,1163.804834842682,0,17,0.0068666934967041
17,cifar10,1200.3858662925195,18,0.1,0.005,0.4791573391819,83.63,0.684208270072937,77.83,1111,49.67895317077637,True,False,,,18,818e3_00006,969165697cb74e06b30f4fb4297e5ea8,2022-09-25_14-45-26,1664142326,1213.4837880134585,1548444,soal-7.stanford.edu,171.67.195.137,1213.4837880134585,0,18,0.0068666934967041
18,cifar10,1275.4594541834667,19,0.1,0.005,0.4776024765300751,83.528,0.6759319366455078,77.99,1111,75.26634001731873,True,False,,,19,818e3_00006,969165697cb74e06b30f4fb4297e5ea8,2022-09-25_14-46-42,1664142402,1288.750128030777,1548444,soal-7.stanford.edu,171.67.195.137,1288.750128030777,0,19,0.0068666934967041
19,cifar10,1322.213331889594,20,0.1,0.005,0.4707847555923461,83.722,1.1172007570266724,68.66,1111,46.92977833747864,True,False,,,20,818e3_00006,969165697cb74e06b30f4fb4297e5ea8,2022-09-25_14-47-29,1664142449,1335.6799063682556,1548444,soal-7.stanford.edu,171.67.195.137,1335.6799063682556,0,20,0.0068666934967041
20,cifar10,1394.7834580885246,21,0.1,0.005,0.4610255644798279,84.016,0.9315937829971314,73.18,1111,72.75414633750916,True,False,,,21,818e3_00006,969165697cb74e06b30f4fb4297e5ea8,2022-09-25_14-48-41,1664142521,1408.4340527057648,1548444,soal-7.stanford.edu,171.67.195.137,1408.4340527057648,0,21,0.0068666934967041
21,cifar10,1442.1022111065686,22,0.1,0.005,0.4610149068927764,84.088,1.015992569732666,70.31,1111,47.50501990318298,True,False,,,22,818e3_00006,969165697cb74e06b30f4fb4297e5ea8,2022-09-25_14-49-29,1664142569,1455.9390726089478,1548444,soal-7.stanford.edu,171.67.195.137,1455.9390726089478,0,22,0.0068666934967041
22,cifar10,1514.370884956792,23,0.1,0.005,0.457690772819519,84.332,0.8985757224082946,72.69,1111,72.49374794960022,True,False,,,23,818e3_00006,969165697cb74e06b30f4fb4297e5ea8,2022-09-25_14-50-41,1664142641,1528.432820558548,1548444,soal-7.stanford.edu,171.67.195.137,1528.432820558548,0,23,0.0068666934967041
23,cifar10,1561.073255741736,24,0.1,0.005,0.4557262996387481,84.294,0.7825614431381226,74.93,1111,46.88148784637451,True,False,,,24,818e3_00006,969165697cb74e06b30f4fb4297e5ea8,2022-09-25_14-51-28,1664142688,1575.3143084049225,1548444,soal-7.stanford.edu,171.67.195.137,1575.3143084049225,0,24,0.0068666934967041
24,cifar10,1633.537710730685,25,0.1,0.005,0.4559206711769104,84.378,0.7802941450119019,75.18,1111,72.76586580276489,True,False,,,25,818e3_00006,969165697cb74e06b30f4fb4297e5ea8,2022-09-25_14-52-41,1664142761,1648.0801742076874,1548444,soal-7.stanford.edu,171.67.195.137,1648.0801742076874,0,25,0.0068666934967041
25,cifar10,1683.0224578515626,26,0.1,0.005,0.4518423415470123,84.44,0.6886692016601562,77.89,1111,49.6685574054718,True,False,,,26,818e3_00006,969165697cb74e06b30f4fb4297e5ea8,2022-09-25_14-53-31,1664142811,1697.7487316131592,1548444,soal-7.stanford.edu,171.67.195.137,1697.7487316131592,0,26,0.0068666934967041
